ID,Name,github src,Manufacturer,Burst,Element,Class,Rarity,Gun,Reload Time,Ammo,RoF,RoF/60,Burst value,F1/ 0.000,F2/ 0.033,F3/ 0.067,F4/ 0.100,F5/ 0.133,F6/ 0.167,F7/ 0.200,F8/ 0.233,F9/ 0.267,F10/ 0.300,F11/ 0.333,F12/ 0.367,F13/ 0.400,F14/ 0.433,F15/ 0.467,F16/ 0.500,F17/ 0.533,F18/ 0.567,F19/ 0.600,F20/ 0.633,F21/ 0.667,F22/ 0.700,F23/ 0.733,F24/ 0.767,F25/ 0.800,F26/ 0.833,F27/ 0.867,F28/ 0.900,F29/ 0.933,F30/ 0.967,F31/ 1.000,F32/ 1.033,F33/ 1.067,F34/ 1.100,F35/ 1.133,F36/ 1.167,F37/ 1.200,F38/ 1.233/ 2RL,F39/ 1.267,F40/ 1.300,F41/ 1.333,F42/ 1.367,F43/ 1.400,F44/ 1.433,F45/ 1.467,F46/ 1.500,F47/ 1.533,F48/ 1.567,F49/ 1.600,F50/ 1.633,F51/ 1.667,F52/ 1.700,F53/ 1.733,F54/ 1.767,F55/ 1.800,F56/ 1.833,F57/ 1.867,F58/ 1.900,F59/ 1.933,F60/ 1.967,F61/ 2.000,F62/ 2.033,F63/ 2.067,F64/ 2.100,F65/ 2.133,F66/ 2.167,F67/ 2.200,F68/ 2.233,F69/ 2.267,F70/ 2.300,F71/ 2.333,F72/ 2.367,F73/ 2.400,F74/ 2.433,F75/ 2.467/ 2RL,F76/ 2.500,F77/ 2.533,F78/ 2.567,F79/ 2.600,F80/ 2.633,F81/ 2.667,F82/ 2.700,F83/ 2.733,F84/ 2.767,F85/ 2.800,F86/ 2.833,F87/ 2.867,F88/ 2.900,F89/ 2.933,F90/ 2.967,F91/ 3.000,F92/ 3.033,F93/ 3.067,F94/ 3.100,F95/ 3.133,F96/ 3.167,F97/ 3.200,F98/ 3.233,F99/ 3.267,F100/ 3.300,F101/ 3.333,F102/ 3.367,F103/ 3.400,F104/ 3.433,F105/ 3.467,F106/ 3.500,F107/ 3.533,F108/ 3.567,F109/ 3.600,F110/ 3.633,F111/ 3.667,F112/ 3.700/ 3RL,F113/ 3.733,F114/ 3.767,F115/ 3.800,F116/ 3.833,F117/ 3.867,F118/ 3.900,F119/ 3.933,F120/ 3.967,F121/ 4.000,F122/ 4.033,F123/ 4.067,F124/ 4.100,F125/ 4.133,F126/ 4.167,F127/ 4.200,F128/ 4.233,F129/ 4.267,F130/ 4.300,F131/ 4.333,F132/ 4.367,F133/ 4.400,F134/ 4.433,F135/ 4.467,F136/ 4.500,F137/ 4.533,F138/ 4.567,F139/ 4.600,F140/ 4.633,F141/ 4.667,F142/ 4.700,F143/ 4.733,F144/ 4.767,F145/ 4.800,F146/ 4.833,F147/ 4.867,F148/ 4.900,F149/ 4.933,F150/ 4.967/ 4RL
43,Scarlet,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Scarlet.webp,Pilgrim,B3,Electric,Attacker,SSR,AR,2.5,20,720,12,0.39375,0.39375,0.39375,0.39375,0.39375,0.7875,0.7875,0.7875,1.18125,1.18125,1.18125,1.575,1.575,1.575,1.96875,1.96875,1.96875,2.3625,2.3625,2.3625,2.75625,2.75625,2.75625,3.15,3.15,3.15,3.54375,3.54375,3.54375,3.9375,3.9375,3.9375,3.9375,4.33125,4.33125,4.33125,4.725,4.725,4.725,5.11875,5.11875,5.11875,5.5125,5.5125,5.5125,5.90625,5.90625,5.90625,6.3,6.3,6.3,6.69375,6.69375,6.69375,7.0875,7.0875,7.0875,7.48125,7.48125,7.48125,7.875,7.875,7.875,7.875,8.26875,8.26875,8.26875,8.6625,8.6625,8.6625,9.05625,9.05625,9.05625,9.45,9.45,9.45,9.84375,9.84375,9.84375,10.2375,10.2375,10.2375,10.63125,10.63125,10.63125,11.025,11.025,11.025,11.41875,11.41875,11.41875,11.8125,11.8125,11.8125,11.8125,12.20625,12.20625,12.20625,12.6,12.6,12.6,12.99375,12.99375,12.99375,13.3875,13.3875,13.3875,13.78125,13.78125,13.78125,14.175,14.175,14.175,14.56875,14.56875,14.56875,14.9625,14.9625,14.9625,15.35625,15.35625,15.35625,15.35625,15.75,15.75,15.75,16.14375,16.14375,16.14375,16.5375,16.5375,16.5375,16.93125,16.93125,16.93125,17.325,17.325,17.325,17.71875,17.71875,17.71875,18.1125,18.1125,18.1125,18.50625,18.50625,18.50625,18.9,18.9,18.9,19.29375
44,Scarlet: Black Shadow,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Scarlet%3A%20Black%20Shadow.webp,Pilgrim,B3,Wind,Attacker,SSR,RL,2,9,200,3.333333333,1.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,8.75,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,13.75,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375,23.75,5.25
45,Mana (S2 lvl 10),https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Mana%20%28S2%20lvl%2010%29.webp,Missilis,B3,Wind,Attacker,SSR,AR,2,60,720,12,0.37275,0.37275,0.37275,0.37275,0.37275,0.7455,0.7455,0.7455,1.11825,1.11825,1.11825,1.491,1.491,1.491,1.86375,1.86375,1.86375,2.2365,2.2365,2.2365,2.60925,2.60925,2.60925,2.982,2.982,2.982,3.35475,3.35475,3.35475,3.7275,3.7275,3.7275,3.7275,4.10025,4.10025,4.10025,4.473,4.473,4.473,4.84575,4.84575,4.84575,5.2185,5.2185,5.2185,5.59125,5.59125,5.59125,5.964,5.964,5.964,6.33675,6.33675,6.33675,6.7095,6.7095,6.7095,7.08225,7.08225,7.08225,7.455,7.455,7.455,7.455,7.82775,7.82775,7.82775,8.2005,8.2005,8.2005,8.57325,8.57325,8.57325,8.946,8.946,8.946,9.31875,9.31875,9.31875,9.6915,9.6915,9.6915,10.06425,10.06425,10.06425,10.437,10.437,10.437,10.80975,10.80975,10.80975,11.1825,11.1825,11.1825,11.1825,11.55525,11.55525,11.55525,11.928,11.928,11.928,12.30075,12.30075,12.30075,12.6735,12.6735,12.6735,13.04625,13.04625,13.04625,13.419,13.419,13.419,13.79175,13.79175,13.79175,14.1645,14.1645,14.1645,14.53725,14.53725,14.53725,14.53725,14.91,14.91,14.91,15.28275,15.28275,15.28275,15.6555,15.6555,15.6555,16.02825,16.02825,16.02825,16.401,16.401,16.401,16.77375,16.77375,16.77375,17.1465,17.1465,17.1465,17.51925,17.51925,17.51925,17.892,17.892,17.892,18.26475
46,Anis Sparkling Summer (5 Bullet Resil Cube),https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Anis%20Sparkling%20Summer%20%285%20Bullet%20Resil%20Cube%29.webp,Tetra,B3,Electric,Supporter,SSR,SG,1.5,5,120,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
47,Privaty Unkind Maid,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Privaty%20Unkind%20Maid.webp,Elysion,B3,Electric,Attacker,SSR,SG,2,9,135,2.25,1.866666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,1.866666667,3.733333333,3.733333333,3.733333333,3.733333333,4.2,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,3.733333333,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,8.4,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,7.466666667,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,9.333333333,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,12.8,11.2,11.2,11.2,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,13.06666667,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,14.93333333,16.8,16.8
48,Guilty,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Guilty.webp,Missilis,B2,Wind,Attacker,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
49,Isabel,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Isabel.webp,Pilgrim,B3,Electric,Attacker,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
50,Leona,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Leona.webp,Tetra,B2,Water,Supporter,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
51,Marciana,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Marciana.webp,Pilgrim,B2,Iron,Supporter,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
52,Mary,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Mary.webp,Tetra,B1,Water,Supporter,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
53,Naga,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Naga.webp,Missilis,B2,Electric,Supporter,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
54,Neve,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Neve.webp,Tetra,B3,Water,Attacker,SR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
55,Poli,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Poli.webp,Elysion,B2,Water,Defender,SSR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
56,Soldier FA,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Soldier%20FA.webp,Elysion,B2,Iron,Defender,SR,SG,2,9,135,2.25,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,1.777777778,3.555555556,3.555555556,3.555555556,3.555555556,4,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,3.555555556,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,5.333333333,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,7.111111111,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,12,10.66666667,10.66666667,10.66666667,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,12.44444444,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,14.22222222,16,16
57,Ether,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Ether.webp,Missilis,B1,Electric,Defender,SR,SG,2,9,120,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18
